,Name,State,State_FP,hotel_url,res_url,shop_url
0,Chicago,Illinois,IL,https://www.tripadvisor.com/Hotels-g35805-Chicago_Illinois-Hotels.html,https://www.tripadvisor.com/Restaurants-g35805-Chicago_Illinois.html,https://www.tripadvisor.com/Attractions-g35805-Activities-c26-Chicago_Illinois.html
1,Joliet,Illinois,IL,https://www.tripadvisor.com/Hotels-g36185-Joliet_Illinois-Hotels.html,https://www.tripadvisor.com/Restaurants-g36185-Joliet_Illinois.html,https://www.tripadvisor.com/Attractions-g36185-Activities-c26-Joliet_Illinois.html
2,Springfield,Illinois,IL,https://www.tripadvisor.com/Hotels-g60887-Springfield_Illinois-Hotels.html,https://www.tripadvisor.com/Restaurants-g60887-Springfield_Illinois.html,https://www.tripadvisor.com/Attractions-g60887-Activities-c26-Springfield_Illinois.html
3,Des Moines,Iowa,IA,https://www.tripadvisor.com/Hotels-g37835-Des_Moines_Iowa-Hotels.html,https://www.tripadvisor.com/Restaurants-g37835-Des_Moines_Iowa.html,https://www.tripadvisor.com/Attractions-g37835-Activities-c26-Des_Moines_Iowa.html
4,Topeka,Kansas,KS,https://www.tripadvisor.com/Hotels-g60747-Topeka_Kansas-Hotels.html,https://www.tripadvisor.com/Restaurants-g60747-Topeka_Kansas.html,https://www.tripadvisor.com/Attractions-g60747-Activities-c26-Topeka_Kansas.html
5,Wichita,Kansas,KS,https://www.tripadvisor.com/Hotels-g39143-Wichita_Kansas-Hotels.html,https://www.tripadvisor.com/Restaurants-g39143-Wichita_Kansas.html,https://www.tripadvisor.com/Attractions-g39143-Activities-c26-Wichita_Kansas.html
6,Los Angeles,California,CA,https://www.tripadvisor.com/Hotels-g32655-Los_Angeles_California-Hotels.html,https://www.tripadvisor.com/Restaurants-g32655-Los_Angeles_California.html,https://www.tripadvisor.com/Attractions-g32655-Activities-c26-Los_Angeles_California.html
7,San Diego,California,CA,https://www.tripadvisor.com/Hotels-g60750-San_Diego_California-Hotels.html,https://www.tripadvisor.com/Restaurants-g60750-San_Diego_California.html,https://www.tripadvisor.com/Attractions-g60750-Activities-c26-San_Diego_California.html
8,San Francisco,California,CA,https://www.tripadvisor.com/Hotels-g60713-San_Francisco_California-Hotels.html,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,https://www.tripadvisor.com/Attractions-g60713-Activities-c26-San_Francisco_California.html
9,Denver,Colorado,CO,https://www.tripadvisor.com/Hotels-g33388-Denver_Colorado-Hotels.html,https://www.tripadvisor.com/Restaurants-g33388-Denver_Colorado.html,https://www.tripadvisor.com/Attractions-g33388-Activities-c26-Denver_Colorado.html
10,Greeley,Colorado,CO,https://www.tripadvisor.com/Hotels-g33454-Greeley_Colorado-Hotels.html,https://www.tripadvisor.com/Restaurants-g33454-Greeley_Colorado.html,https://www.tripadvisor.com/Attractions-g33454-Activities-c26-Greeley_Colorado.html
11,Washington,Columbia,DC,https://www.tripadvisor.com/Hotels-g28970-Washington_DC_District_of_Columbia-Hotels.html,https://www.tripadvisor.com/Restaurants-g28970-Washington_DC_District_of_Columbia.html,https://www.tripadvisor.com/Attractions-g28970-Activities-c26-Washington_DC_District_of_Columbia.html
12,Decatur,Alabama,AL,https://www.tripadvisor.com/Hotels-g30477-Decatur_Alabama-Hotels.html,https://www.tripadvisor.com/Restaurants-g30477-Decatur_Alabama.html,https://www.tripadvisor.com/Attractions-g30477-Activities-c26-Decatur_Alabama.html
13,Phoenix,Arizona,AZ,https://www.tripadvisor.com/Hotels-g31310-Phoenix_Arizona-Hotels.html,https://www.tripadvisor.com/Restaurants-g31310-Phoenix_Arizona.html,https://www.tripadvisor.com/Attractions-g31310-Activities-c26-Phoenix_Arizona.html
14,Little Rock,Arkansas,AR,https://www.tripadvisor.com/Hotels-g60766-Little_Rock_Arkansas-Hotels.html,https://www.tripadvisor.com/Restaurants-g60766-Little_Rock_Arkansas.html,https://www.tripadvisor.com/Attractions-g60766-Activities-c26-Little_Rock_Arkansas.html
15,Searcy,Arkansas,AR,https://www.tripadvisor.com/Hotels-g31916-Searcy_Arkansas-Hotels.html,https://www.tripadvisor.com/Restaurants-g31916-Searcy_Arkansas.html,https://www.tripadvisor.com/Attractions-g31916-Activities-c26-Searcy_Arkansas.html
16,Louisville,Kentucky,KY,https://www.tripadvisor.com/Hotels-g39604-Louisville_Kentucky-Hotels.html,https://www.tripadvisor.com/Restaurants-g39604-Louisville_Kentucky.html,https://www.tripadvisor.com/Attractions-g39604-Activities-c26-Louisville_Kentucky.html
17,Baltimore,Maryland,MD,https://www.tripadvisor.com/Hotels-g60811-Baltimore_Maryland-Hotels.html,https://www.tripadvisor.com/Restaurants-g60811-Baltimore_Maryland.html,https://www.tripadvisor.com/Attractions-g60811-Activities-c26-Baltimore_Maryland.html
18,Boston,Massachusetts,MA,https://www.tripadvisor.com/Hotels-g60745-Boston_Massachusetts-Hotels.html,https://www.tripadvisor.com/Restaurants-g60745-Boston_Massachusetts.html,https://www.tripadvisor.com/Attractions-g60745-Activities-c26-Boston_Massachusetts.html
19,Detroit,Michigan,MI,https://www.tripadvisor.com/Hotels-g42139-Detroit_Michigan-Hotels.html,https://www.tripadvisor.com/Restaurants-g42139-Detroit_Michigan.html,https://www.tripadvisor.com/Attractions-g42139-Activities-c26-Detroit_Michigan.html
20,Rochester,Michigan,MI,https://www.tripadvisor.com/Hotels-g42643-Rochester_Michigan-Hotels.html,https://www.tripadvisor.com/Restaurants-g42643-Rochester_Michigan.html,https://www.tripadvisor.com/Attractions-g42643-Activities-c26-Rochester_Michigan.html
21,Miami,Florida,FL,https://www.tripadvisor.com/Hotels-g34438-Miami_Florida-Hotels.html,https://www.tripadvisor.com/Restaurants-g34438-Miami_Florida.html,https://www.tripadvisor.com/Attractions-g34438-Activities-c26-Miami_Florida.html
22,Tampa,Florida,FL,https://www.tripadvisor.com/Hotels-g34678-Tampa_Florida-Hotels.html,https://www.tripadvisor.com/Restaurants-g34678-Tampa_Florida.html,https://www.tripadvisor.com/Attractions-g34678-Activities-c26-Tampa_Florida.html
23,Atlanta,Georgia,GA,https://www.tripadvisor.com/Hotels-g60898-Atlanta_Georgia-Hotels.html,https://www.tripadvisor.com/Restaurants-g60898-Atlanta_Georgia.html,https://www.tripadvisor.com/Attractions-g60898-Activities-c26-Atlanta_Georgia.html
24,New York,York,NY,https://www.tripadvisor.com/Hotels-g60763-New_York_City_New_York-Hotels.html,https://www.tripadvisor.com/Restaurants-g60763-New_York_City_New_York.html,https://www.tripadvisor.com/Attractions-g60763-Activities-c26-New_York_City_New_York.html
25,Yonkers,York,NY,https://www.tripadvisor.com/Hotels-g48922-Yonkers_New_York-Hotels.html,https://www.tripadvisor.com/Restaurants-g48922-Yonkers_New_York.html,https://www.tripadvisor.com/Attractions-g48922-Activities-c26-Yonkers_New_York.html
26,Charlotte,Carolina,NC,https://www.tripadvisor.com/Hotels-g49022-Charlotte_North_Carolina-Hotels.html,https://www.tripadvisor.com/Restaurants-g49022-Charlotte_North_Carolina.html,https://www.tripadvisor.com/Attractions-g49022-Activities-c26-Charlotte_North_Carolina.html
27,Raleigh,Carolina,NC,https://www.tripadvisor.com/Hotels-g49463-Raleigh_North_Carolina-Hotels.html,https://www.tripadvisor.com/Restaurants-g49463-Raleigh_North_Carolina.html,https://www.tripadvisor.com/Attractions-g49463-Activities-c26-Raleigh_North_Carolina.html
28,Dayton,Ohio,OH,https://www.tripadvisor.com/Hotels-g60785-Dayton_Ohio-Hotels.html,https://www.tripadvisor.com/Restaurants-g60785-Dayton_Ohio.html,https://www.tripadvisor.com/Attractions-g60785-Activities-c26-Dayton_Ohio.html
29,Seattle,Washington,WA,https://www.tripadvisor.com/Hotels-g60878-Seattle_Washington-Hotels.html,https://www.tripadvisor.com/Restaurants-g60878-Seattle_Washington.html,https://www.tripadvisor.com/Attractions-g60878-Activities-c26-Seattle_Washington.html
30,Oklahoma City,Oklahoma,OK,https://www.tripadvisor.com/Hotels-g51560-Oklahoma_City_Oklahoma-Hotels.html,https://www.tripadvisor.com/Restaurants-g51560-Oklahoma_City_Oklahoma.html,https://www.tripadvisor.com/Attractions-g51560-Activities-c26-Oklahoma_City_Oklahoma.html
31,Tulsa,Oklahoma,OK,https://www.tripadvisor.com/Hotels-g51697-Tulsa_Oklahoma-Hotels.html,https://www.tripadvisor.com/Restaurants-g51697-Tulsa_Oklahoma.html,https://www.tripadvisor.com/Attractions-g51697-Activities-c26-Tulsa_Oklahoma.html
32,Greensburg,Pennsylvania,PA,https://www.tripadvisor.com/Hotels-g52763-Greensburg_Pennsylvania-Hotels.html,https://www.tripadvisor.com/Restaurants-g52763-Greensburg_Pennsylvania.html,https://www.tripadvisor.com/Attractions-g52763-Activities-c26-Greensburg_Pennsylvania.html
33,Philadelphia,Pennsylvania,PA,https://www.tripadvisor.com/Hotels-g60795-Philadelphia_Pennsylvania-Hotels.html,https://www.tripadvisor.com/Restaurants-g60795-Philadelphia_Pennsylvania.html,https://www.tripadvisor.com/Attractions-g60795-Activities-c26-Philadelphia_Pennsylvania.html
34,Rapid City,Dakota,SD,https://www.tripadvisor.com/Hotels-g54774-Rapid_City_South_Dakota-Hotels.html,https://www.tripadvisor.com/Restaurants-g54774-Rapid_City_South_Dakota.html,https://www.tripadvisor.com/Attractions-g54774-Activities-c26-Rapid_City_South_Dakota.html
35,Fergus Falls,Minnesota,MN,https://www.tripadvisor.com/Hotels-g43066-Fergus_Falls_Minnesota-Hotels.html,https://www.tripadvisor.com/Restaurants-g43066-Fergus_Falls_Minnesota.html,https://www.tripadvisor.com/Attractions-g43066-Activities-c26-Fergus_Falls_Minnesota.html
36,Minneapolis,Minnesota,MN,https://www.tripadvisor.com/Hotels-g43323-Minneapolis_Minnesota-Hotels.html,https://www.tripadvisor.com/Restaurants-g43323-Minneapolis_Minnesota.html,https://www.tripadvisor.com/Attractions-g43323-Activities-c26-Minneapolis_Minnesota.html
37,Pearl,Mississippi,MS,https://www.tripadvisor.com/Hotels-g43944-Pearl_Mississippi-Hotels.html,https://www.tripadvisor.com/Restaurants-g43944-Pearl_Mississippi.html,https://www.tripadvisor.com/Attractions-g43944-Activities-c26-Pearl_Mississippi.html
38,Lebanon,Missouri,MO,https://www.tripadvisor.com/Hotels-g44586-Lebanon_Missouri-Hotels.html,https://www.tripadvisor.com/Restaurants-g44586-Lebanon_Missouri.html,https://www.tripadvisor.com/Attractions-g44586-Activities-c26-Lebanon_Missouri.html
39,Neosho,Missouri,MO,https://www.tripadvisor.com/Hotels-g44709-Neosho_Missouri-Hotels.html,https://www.tripadvisor.com/Restaurants-g44709-Neosho_Missouri.html,https://www.tripadvisor.com/Attractions-g44709-Activities-c26-Neosho_Missouri.html
40,StLouis,Missouri,MO,https://www.tripadvisor.com/Hotels-g44881-Saint_Louis_Missouri-Hotels.html,https://www.tripadvisor.com/Restaurants-g44881-Saint_Louis_Missouri.html,https://www.tripadvisor.com/Attractions-g44881-Activities-c26-Saint_Louis_Missouri.html
41,Billings,Montana,MT,https://www.tripadvisor.com/Hotels-g45086-Billings_Montana-Hotels.html,https://www.tripadvisor.com/Restaurants-g45086-Billings_Montana.html,https://www.tripadvisor.com/Attractions-g45086-Activities-c26-Billings_Montana.html
42,North Platte,Nebraska,NE,https://www.tripadvisor.com/Hotels-g45737-North_Platte_Nebraska-Hotels.html,https://www.tripadvisor.com/Restaurants-g45737-North_Platte_Nebraska.html,https://www.tripadvisor.com/Attractions-g45737-Activities-c26-North_Platte_Nebraska.html
43,Lebanon,Tennessee,TN,https://www.tripadvisor.com/Hotels-g55153-Lebanon_Tennessee-Hotels.html,https://www.tripadvisor.com/Restaurants-g55153-Lebanon_Tennessee.html,https://www.tripadvisor.com/Attractions-g55153-Activities-c26-Lebanon_Tennessee.html
44,Memphis,Tennessee,TN,https://www.tripadvisor.com/Hotels-g55197-Memphis_Tennessee-Hotels.html,https://www.tripadvisor.com/Restaurants-g55197-Memphis_Tennessee.html,https://www.tripadvisor.com/Attractions-g55197-Activities-c26-Memphis_Tennessee.html
45,Amarillo,Texas,TX,https://www.tripadvisor.com/Hotels-g30165-Amarillo_Texas-Hotels.html,https://www.tripadvisor.com/Restaurants-g30165-Amarillo_Texas.html,https://www.tripadvisor.com/Attractions-g30165-Activities-c26-Amarillo_Texas.html
46,Austin,Texas,TX,https://www.tripadvisor.com/Hotels-g30196-Austin_Texas-Hotels.html,https://www.tripadvisor.com/Restaurants-g30196-Austin_Texas.html,https://www.tripadvisor.com/Attractions-g30196-Activities-c26-Austin_Texas.html
47,Dallas,Texas,TX,https://www.tripadvisor.com/Hotels-g55711-Dallas_Texas-Hotels.html,https://www.tripadvisor.com/Restaurants-g55711-Dallas_Texas.html,https://www.tripadvisor.com/Attractions-g55711-Activities-c26-Dallas_Texas.html
48,Fort Worth,Texas,TX,https://www.tripadvisor.com/Hotels-g55857-Fort_Worth_Texas-Hotels.html,https://www.tripadvisor.com/Restaurants-g55857-Fort_Worth_Texas.html,https://www.tripadvisor.com/Attractions-g55857-Activities-c26-Fort_Worth_Texas.html
49,Houston,Texas,TX,https://www.tripadvisor.com/Hotels-g56003-Houston_Texas-Hotels.html,https://www.tripadvisor.com/Restaurants-g56003-Houston_Texas.html,https://www.tripadvisor.com/Attractions-g56003-Activities-c26-Houston_Texas.html
